City,crime,2023,2024,2025,2026,TotalCount
Meerut,VANDALISM,1,3,2,2,8
Patna,PUBLIC INTOXICATION,1,3,3,2,8
Vasai,SEXUAL ASSAULT,2,3,2,1,8
Faridabad,DRUG OFFENSE,2,2,3,2,8
Rajkot,TRAFFIC VIOLATION,1,3,3,2,8
Surat,SEXUAL ASSAULT,2,2,2,1,8
Srinagar,FIREARM OFFENSE,1,2,3,2,8
Srinagar,IDENTITY THEFT,1,2,3,2,8
Patna,BURGLARY,1,3,3,2,8
Rajkot,SHOPLIFTING,1,3,3,2,8
Meerut,COUNTERFEITING,1,3,2,1,8
Patna,HOMICIDE,1,3,3,1,8
Srinagar,HOMICIDE,1,2,3,2,8
Faridabad,FIREARM OFFENSE,0,2,3,2,8
Jaipur,SEXUAL ASSAULT,1,2,2,2,8
Srinagar,BURGLARY,1,2,3,2,7
Srinagar,VEHICLE - STOLEN,2,2,2,1,7
Ludhiana,IDENTITY THEFT,1,3,2,1,7
Meerut,HOMICIDE,1,2,3,2,7
Nashik,VANDALISM,1,3,2,1,7
Kalyan,HOMICIDE,1,3,3,2,7
Faridabad,VANDALISM,1,2,2,1,7
Meerut,BURGLARY,1,2,3,2,7
Surat,IDENTITY THEFT,1,2,2,1,7
Kalyan,BURGLARY,1,2,3,2,7
Meerut,CYBERCRIME,1,2,2,1,7
Nashik,BURGLARY,1,3,2,1,7
Indore,SEXUAL ASSAULT,1,2,2,2,7
Srinagar,CYBERCRIME,1,2,2,1,7
Kalyan,ARSON,1,2,2,1,7
Thane,FIREARM OFFENSE,1,2,2,1,6
Nashik,TRAFFIC VIOLATION,1,1,3,2,6
Meerut,FIREARM OFFENSE,0,1,3,2,6
Srinagar,VANDALISM,2,2,2,1,6
Vasai,IDENTITY THEFT,1,2,2,1,6
Meerut,ILLEGAL POSSESSION,1,2,2,1,6
Rajkot,ARSON,1,2,2,1,6
Meerut,SHOPLIFTING,1,2,2,1,6
Varanasi,SEXUAL ASSAULT,1,2,2,1,6
Nashik,FIREARM OFFENSE,0,1,3,2,5
Meerut,PUBLIC INTOXICATION,0,1,3,2,5
Srinagar,ILLEGAL POSSESSION,1,2,2,1,5
Thane,SEXUAL ASSAULT,1,2,2,1,5
Jaipur,TRAFFIC VIOLATION,1,2,2,1,5
Nashik,IDENTITY THEFT,0,1,3,2,5
Meerut,ARSON,1,2,2,1,5
Kalyan,SHOPLIFTING,1,2,2,1,5
Meerut,IDENTITY THEFT,0,1,2,2,5
Indore,TRAFFIC VIOLATION,1,2,1,1,4
Vasai,DOMESTIC VIOLENCE,1,2,1,0,4
Rajkot,PUBLIC INTOXICATION,1,1,1,1,4
Kalyan,FIREARM OFFENSE,0,1,2,1,4
Patna,IDENTITY THEFT,1,1,1,1,3
Patna,SEXUAL ASSAULT,1,1,1,1,3
Thane,IDENTITY THEFT,1,1,1,1,3
Nashik,SEXUAL ASSAULT,0,1,2,1,3
Thane,PUBLIC INTOXICATION,1,1,1,1,3
Kalyan,PUBLIC INTOXICATION,0,1,1,0,2
Vasai,TRAFFIC VIOLATION,1,1,0,0,2
Rajkot,SEXUAL ASSAULT,0,0,0,0,2
Kalyan,SEXUAL ASSAULT,0,0,1,1,2
Nashik,ARSON,1,1,0,0,2
Varanasi,IDENTITY THEFT,0,0,0,0,0
Rajkot,IDENTITY THEFT,0,0,0,0,0
Kalyan,IDENTITY THEFT,0,0,0,0,0
